location_id,location_name,latitude,longitude,coordinate_basis,position_uncertainty_nm,validation_status,recommended_change,change_applied,review_notes
LOC001,Norfolk / Hampton Roads,36.946,-76.33,Harbor-area modeling point,10,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; single recorded visit; the coordinate is not interpreted as an exact ship fix.
LOC002,Panama Canal,8.95,-79.5667,Canal transit modeling point,15,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; single recorded visit; the coordinate is not interpreted as an exact ship fix.
LOC003,San Francisco Bay,37.8199,-122.4783,Golden Gate transit point,10,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 5 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC004,Mare Island Navy Yard,38.1,-122.273,Shipyard centroid,3,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; single recorded visit; the coordinate is not interpreted as an exact ship fix.
LOC005,Treasure Island,37.823,-122.37,Base centroid,3,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 2 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC006,Pearl Harbor,21.344,-157.975,Harbor centroid,5,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 12 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC007,Funafuti,-8.5167,179.2,Atoll/anchorage centroid,12,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 2 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC008,Tarawa,1.35,172.93,Atoll operational centroid,15,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 2 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC009,Espiritu Santo,-15.5167,167.1833,Harbor centroid,10,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; single recorded visit; the coordinate is not interpreted as an exact ship fix.
LOC010,Guadalcanal,-9.433,159.95,Coastal operational centroid,15,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; single recorded visit; the coordinate is not interpreted as an exact ship fix.
LOC011,Makin,3.167,172.833,Lagoon centroid,12,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 2 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC012,Majuro,7.1167,171.3667,Atoll/anchorage centroid,12,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 2 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
